Habitat,Mass_g
Forest,24.42634539893014
Forest,21.923687333883155
Forest,25.999589008321482
Forest,26.78520721393342
Forest,25.16295786229219
Forest,26.70130476231425
Forest,23.60796811379207
Forest,28.85440244517996
Forest,23.92608315458302
Forest,23.261044330462163
Forest,28.124778347441932
Forest,28.34464654323364
Forest,27.041966911303245
Forest,25.661519979778312
Forest,29.784657953944297
Forest,21.9680773182595
Forest,28.413309978824515
Forest,30.143181503454826
Forest,25.16382872241019
Forest,26.757166011836205
Forest,26.829106580927935
Forest,28.580746024931106
Forest,22.42356872013768
Forest,27.6871185800469
Forest,19.873158801493222
Forest,31.230710636170276
Forest,23.285980722113663
Forest,24.051427103539883
Forest,25.776655529949362
Forest,21.24906381938899
Forest,24.21131547029204
Forest,25.1844623213967
Forest,23.980097535465728
Forest,31.078882184033443
Forest,19.639718047130685
Forest,24.683834753074255
Forest,28.536541865779867
Forest,22.491505586609385
Forest,24.583146634582043
Forest,30.829854690319415
Forest,19.39796320704884
Forest,22.58920640452576
Forest,21.404774312265836
Forest,26.888564152869762
Forest,22.401614431118247
Forest,26.403416808900438
Forest,23.06258085338029
Forest,24.542423321024565
Forest,27.568644638129925
Forest,25.411011260885584
Forest,19.177883638100944
Forest,23.39233759761633
Forest,27.1407852930299
Forest,30.58044495891648
Forest,21.655521565074856
Forest,24.314136891731398
Forest,24.75523036043535
Forest,22.802300537913478
Forest,20.852101530832712
Forest,30.516389801032176
Forest,29.435003378251654
Forest,20.77963985017656
Forest,19.348083603616438
Forest,24.167901317178163
Forest,26.29128341557376
Forest,24.61363999583588
Forest,28.38779378624141
Forest,24.26041452096656
Forest,21.50335655262802
Forest,29.559646878851222
Forest,24.29791976856209
Forest,24.14807923888322
Forest,24.210525147637014
Forest,25.168012911274655
Forest,18.044014330999623
Forest,27.04989139605333
Forest,27.163695696134823
Forest,26.887735572432604
Forest,23.76662313947038
Forest,25.2979252806426
Forest,20.695261985066516
Forest,26.07934106281139
Forest,22.548833928835634
Forest,28.950678774575863
Forest,22.2225292960276
Forest,18.822743851193614
Forest,25.51797755188891
Forest,20.10833160206244
Forest,22.216460142672087
Forest,27.412096870427543
Forest,30.616995245917913
Forest,24.211965729955473
Forest,27.914953893041737
Forest,20.86790841492411
Forest,30.191503942851597
Forest,24.9847384556346
Forest,22.66035926974151
Forest,26.192631764246894
Forest,22.572253189878573
Forest,25.150969090745935
Forest,25.305316125165444
Forest,28.507370638189702
Forest,23.300226718308878
Forest,23.87397913502932
Forest,25.371980616988324
Forest,27.692123433199974
Forest,30.686790979520246
Forest,29.74655936701135
Forest,27.880766061349522
Forest,19.290769068686615
Forest,27.841974261625708
Forest,27.260261116519036
Forest,22.90660861893452
Forest,23.30520936689724
Forest,20.892548965174058
Forest,24.96235907566117
Forest,25.271890047034923
Forest,19.739348618066266
Forest,20.255987101074886
Forest,25.52345523225213
Forest,21.919348184896826
Forest,24.10235103289156
Forest,28.02315005833188
Forest,23.722266396149948
Forest,25.381192944480844
Forest,26.84731307374947
Forest,21.626026866936588
Forest,28.728031065835545
Forest,27.75104607183915
Forest,28.818895878983376
Forest,23.721396691299518
Forest,20.60704123119594
Forest,26.533488849342636
Forest,26.85559675535275
Forest,32.62110587156933
Forest,30.158478778149856
Forest,23.605351706459025
Forest,21.979668129421135
Forest,26.862966890331695
Forest,30.979727477630178
Forest,21.450598103475123
Forest,22.65849517424052
Forest,30.243084963707272
Forest,30.511560946500943
Forest,25.583669243339433
Forest,20.139309147284674
Forest,23.372288417730267
Forest,28.502256521425057
Forest,31.461200724631937
Forest,24.9523703794824
Forest,23.105664598107985
Forest,25.91586194874856
Forest,25.43463581167625
Forest,22.2719940814284
Forest,26.775652521157557
Forest,29.171332923373697
Forest,25.03936128185635
Forest,26.877250601679695
Forest,25.756255099592007
Forest,26.384698281432552
Forest,24.35913072877042
Forest,28.593628173740836
Forest,25.695409400325733
Forest,23.491475644147783
Forest,26.891371391461185
Forest,27.871892577342773
Forest,24.776551410575017
Forest,16.9655067675372
Forest,29.908493159761953
Forest,22.74810835409085
Forest,23.952568277128673
Forest,29.85589221938492
Forest,19.30588033449353
Forest,21.68036691870669
Forest,22.75164787374582
Forest,21.061355889616323
Forest,28.309864971894246
Forest,28.79348840093047
Forest,26.50262839330157
Forest,23.68178252281945
Forest,23.728960073163588
Forest,23.295780783378
Forest,23.425880901154517
Forest,26.448476781609926
Forest,27.727790096178268
Forest,23.630266938943734
Forest,25.95697119690057
Forest,17.84262174731538
Forest,25.227510919472756
Forest,22.36467443087531
Forest,28.295599539409256
Forest,28.557473222901013
Forest,18.41051385668812
Forest,27.76695255541621
Forest,23.30281481884647
Forest,24.50817693496659
Forest,27.69550248104632
Forest,27.06750195706894
Forest,22.542930263971957
Forest,25.960200270928652
Wetland,28.598774306352425
Wetland,33.75556600813946
Wetland,25.28558224341002
Wetland,32.459263356247234
Wetland,34.17328826458898
Wetland,22.171424972442658
Wetland,31.943239790881528
Wetland,28.911061253785615
Wetland,30.33066525305413
Wetland,29.189777557320465
Wetland,32.07629192080115
Wetland,32.784840916415995
Wetland,31.779390304019085
Wetland,29.681121693532454
Wetland,28.72761261339333
Wetland,29.57905874394357
Wetland,29.31812654606459
Wetland,30.615185814699615
Wetland,27.52621353436883
Wetland,31.753741751035513
Wetland,27.00510400238915
Wetland,25.547155481618258
Wetland,30.77333244926247
Wetland,31.24587001217644
Wetland,33.07625871873786
Wetland,32.17822820376271
Wetland,30.65936212843907
Wetland,32.0747988353882
Wetland,27.0585067938866
Wetland,26.57817088841559
Wetland,26.353536009615524
Wetland,30.134185608969975
Wetland,31.98441112404282
Wetland,32.71917674142793
Wetland,34.45110435915044
Wetland,30.987601762724513
Wetland,29.615425651967467
Wetland,28.01616917103131
Wetland,30.762204658940195
Wetland,29.80693417559055
Wetland,29.02461205001342
Wetland,27.968930804152315
Wetland,26.982405305913915
Wetland,27.051159005919466
Wetland,34.40649108551374
Wetland,30.75185349988055
Wetland,28.70978473010011
Wetland,25.26242676132066
Wetland,30.578591210731915
Wetland,28.5080998344587
Wetland,29.742325345973544
Wetland,29.37855373413065
Wetland,32.32816616610751
Wetland,29.794094222841483
Wetland,29.465995748907876
Wetland,37.1185154355936
Wetland,33.26161259273205
Wetland,30.390054693905615
Wetland,27.806406010116095
Wetland,33.53738905065923
Wetland,27.2020513314217
Wetland,29.85580748031705
Wetland,32.55775724556293
Wetland,28.766063654022215
Wetland,28.898370528273905
Wetland,31.320927424209227
Wetland,30.418413397892557
Wetland,29.252242163973424
Wetland,29.37187789517447
Wetland,30.752697677409365
Wetland,31.400186002241767
Wetland,33.88278544785913
Wetland,28.74230316197884
Wetland,33.949978353850675
Wetland,25.604350929471362
Wetland,28.064740290319673
Wetland,25.941294451489625
Wetland,30.928324685231072
Wetland,31.2625841421703
Wetland,25.901923744243827
Wetland,30.143593416470363
Wetland,27.258401177370537
Wetland,31.48152856528265
Wetland,25.33525848176418
Wetland,32.594151947468625
Wetland,29.866776202894894
Wetland,26.8921719187756
Wetland,29.75123366396145
Wetland,29.202998924582868
Wetland,28.906615877702446
Wetland,25.507952725302253
Wetland,28.244369532092964
Wetland,29.48001713153397
Wetland,25.55024337815359
Wetland,30.90708415554823
Wetland,34.119349158176945
Wetland,32.34626160103776
Wetland,27.604401127424588
Wetland,28.02940134859425
Wetland,28.602923236559054
Wetland,31.817680246160712
Wetland,29.881441388245833
Wetland,27.164830491623306
Wetland,25.464046168246597
Wetland,31.677891488935806
Wetland,26.868109648875368
Wetland,31.491036217313365
Wetland,30.219212746744173
Wetland,32.16531304482937
Wetland,33.282514503149066
Wetland,25.730116831507175
Wetland,33.06691097263345
Wetland,32.06344523676279
Wetland,29.07763533101722
Wetland,29.940752833288887
Wetland,31.465195157104908
Wetland,31.981502431062253
Wetland,24.857870018056417
Wetland,34.37657094332186
Wetland,25.776313549908167
Wetland,23.756507642193284
Wetland,32.86271815695094
Wetland,25.465223236640362
Wetland,29.327570597902
Wetland,25.960413313465743
Wetland,24.616247071956934
Wetland,28.673658011848513
Wetland,31.9413360734968
Wetland,30.947698140353058
Wetland,28.072578551042444
Wetland,29.95272885878753
Wetland,29.703914557507478
Wetland,29.929426534315663
Wetland,28.661885114420386
Wetland,31.082849707831027
Wetland,26.751892467025733
Wetland,31.132552187323693
Wetland,28.981776886562514
Wetland,28.993204223915292
Wetland,32.1174122809014
Wetland,28.717284533945598
Wetland,27.043949245387267
Wetland,26.39088497546328
Wetland,32.00709823009406
Wetland,23.000137867982858
Wetland,28.749253279310928
Wetland,30.54436916293697
Wetland,25.87511877554428
Wetland,30.0208888761712
Wetland,32.01072005680271
Wetland,24.526714238070266
Wetland,27.33835812343086
Wetland,35.28678733195149
Wetland,28.03612673558181
Wetland,27.101716620213544
Wetland,27.42684431474944
Wetland,28.697041801260283
Wetland,30.557759658759494
Wetland,27.888998199253766
Wetland,30.60515879750264
Wetland,32.105858241826375
Wetland,31.008544536660345
Wetland,32.24947710388623
Wetland,27.597352994434342
Wetland,29.631775820807967
Wetland,31.992865774504068
Wetland,30.164873649704365
Wetland,30.63808510152416
Wetland,30.15258203916026
Wetland,30.548750552008695
Wetland,29.92598121488453
Wetland,26.701827005367257
Wetland,30.521997993217436
Wetland,28.63389983295216
Wetland,34.307336585404606
Wetland,28.41122949116137
Wetland,30.456454188215584
Wetland,24.080216027711458
Wetland,28.023363717896416
Wetland,27.51464205335179
Wetland,33.69511062920127
Wetland,29.546742147194408
Wetland,30.434868823969527
Wetland,30.900890736147087
Wetland,28.406665562206026
Wetland,30.902145425052147
Wetland,34.51987212155945
Wetland,31.850978129870406
Wetland,32.14320017460914
Wetland,27.49643152274431
Wetland,30.537142617830416
Wetland,30.880039310145992
Wetland,28.034695109725284
Wetland,30.352261645007797
Wetland,35.92058427119815
Wetland,27.076400304115733
Wetland,31.658842953623434
Wetland,26.778536610743203
Wetland,31.055990307841324
Wetland,26.87452567277712
Grassland,36.771053455057796
Grassland,31.194680303603747
Grassland,35.06143299412135
Grassland,39.023948776323024
Grassland,34.332577737651675
Grassland,34.68080721738909
Grassland,39.21257093536927
Grassland,41.10888965948447
Grassland,42.44931533812002
